cell_line,drugA,drugB,dIC50
HL60,ABT199,DAU,-6.824014209931221
FKH1,ABT199,DAC,-4.610399433859176
FKH1,ABT199,FLD,-4.350784376932381
HL60,ABT199,AZC,-4.050942638738312
HL60,ABT199,AG221,-3.947344927616454
FKH1,ABT199,VP16,-3.7450761523209257
HL60,DAC,FLD,-3.636109206972888
FKH1,ABT199,AZC,-3.369532745630707
K562,2CdA,AG221,-3.2438344008296136
HL60,ABT199,IDA,-3.1283562623367045
FKH1,ABT199,IDA,-3.029298384170076
IDH2,DAC,VP16,-2.93530825182251
FKH1,ABT199,Mito,-2.819279454619415
Kasumi1,AG221,MTX,-2.7947063461728527
K562,2CdA,DAC,-2.4591450534413246
FKH1,ABT199,DAU,-2.424379446706112
IDH2,ABT199,DAC,-2.3269548292735656
Kasumi1,MTX,VP16,-2.326737110710254
IDH2,DAC,FLD,-2.307168259337968
Kasumi1,MTX,Mito,-2.2178373400352194
HL60,2CdA,ABT199,-2.1371707787243466
FKH1,6TG,ABT199,-2.1243124388652435
K562,ATRA,Mito,-2.121435995675859
FKH1,ABT199,AraC,-2.101888107296104
HL60,2CdA,FLD,-2.088117670353439
TF1,ABT199,DAU,-2.0800729912154
IDH2,2CdA,DAC,-2.074563524802592
HL60,ABT199,VP16,-2.0569792120203894
K562,AG221,VP16,-1.9967304347493777
IDH2,AG221,IDA,-1.990448412333877
FKH1,ABT199,AG221,-1.9584771519221373
K562,AG221,Mito,-1.9457477259497447
HL60,6TG,AG221,-1.9195494071849482
IDH2,ABT199,DAU,-1.8856850245125154
HL60,AG221,DAU,-1.880872970173327
IDH2,AG221,DAC,-1.8739676323082102
HL60,ABT199,DAC,-1.83983887600538
Kasumi1,AZC,FLD,-1.8189384870996532
HL60,AG221,VP16,-1.7725290285783797
HL60,AG221,FLD,-1.7706436029502854
FKH1,6TG,AG221,-1.7625089592130503
IDH2,ABT199,Mito,-1.7496740016383325
K562,ATRA,VP16,-1.748171436497742
TF1,2CdA,AZC,-1.7132591809698372
TF1,2CdA,AraC,-1.7042125344550274
K562,2CdA,ATRA,-1.7032505527996602
FKH1,AG221,DAU,-1.698491270801556
TF1,ABT199,Mito,-1.6867223878385924
K562,IDA,VP16,-1.6757769287123807
K562,DAU,VP16,-1.6460676389075575
HL60,ABT199,ATRA,-1.6438912078784855
TF1,DAC,IDA,-1.642708804873029
IDH2,6TG,AG221,-1.5240866884264528
K562,2CdA,FLD,-1.5081418516222975
Kasumi1,ABT199,AG221,-1.4846039305157894
Kasumi1,AG221,VP16,-1.476623491464066
HL60,ABT199,Mito,-1.4137456520760727
TF1,DAC,VP16,-1.4080923015530633
TF1,ABT199,DAC,-1.3884262693686127
HL60,2CdA,AraC,-1.3676204817638764
IDH2,AG221,VP16,-1.3552954376064426
Kasumi1,AG221,DAU,-1.3134401232369428
IDH2,ABT199,VP16,-1.3051706685681328
